code,flag
065363770,0
820372219,0
141004833,0
065772558,0
065363767,0
065438350,0
064009633,4
064013663,4
064014310,4
064017049,4
064030664,4
064031001,4
064031646,4
064046319,4
064047106,4
064054331,4
064061503,4
064062043,4
064069283,4
064088846,4
064109187,4
064109405,4
064139508,4
064142541,4
064142710,4
064145327,4
064146142,4
064149502,4
064149691,4
064152618,4
064171546,4
064183029,4
064201325,4
064222706,4
064233990,4
064238318,4
064274967,4
064290641,4
064291177,4
064294367,4
064299991,4
064306949,4
064312098,4
064313619,4
064318255,4
064321240,4
064321340,4
064324555,4
064336195,4
064336723,4
064337977,4
064338902,4
064346967,4
064351216,4
064352309,4
064359344,4
064360798,4
064363281,4
064363742,4
064365794,4
064366794,4
064368043,4
064370246,4
064374726,4
064386184,4
064398261,4
064400261,4
064402270,4
064424690,4
064427248,4
064427510,4
064428570,4
064434700,4
064448457,4
064452534,4
064452640,4
064456769,4
064458101,4
064462696,4
064476557,4
064476558,4
064479341,4
064482172,4
064484252,4
064492925,4
064493489,4
064495237,4
064497053,4
064499958,4
064505017,4
064506209,4
064512416,4
064512421,4
064514670,4
064514730,4
064514987,4
064516747,4
064519926,4
064520622,4
064523465,4
064524503,4
064525028,4
064529100,4
064529410,4
064529459,4
064529752,4
064531073,4
064537165,4
064553309,4
064557523,4
064559812,4
064567368,4
064567424,4
064569461,4
064575259,4
064578019,4
064581316,4
064583217,4
064585496,4
064593033,4
064593793,4
064603567,4
064603821,4
064606267,4
064629631,4
064630835,4
064633918,4
064642063,4
064643733,4
064645696,4
064647174,4
064651089,4
064662313,4
064662314,4
064668812,4
064669227,4
064675385,4
064679431,4
064679918,4
064686094,4
064687289,4
064690114,4
064691739,4
064697300,4
064698087,4
064712415,4
064713191,4
064714495,4
064723446,4
064727189,4
064736480,4
064736957,4
064737839,4
064738695,4
064740613,4
064740736,4
064742156,4
064742272,4
064743021,4
064755106,4
064757732,4
064758218,4
064758225,4
064761616,4
064764320,4
064764450,4
064767530,4
064768805,4
064768827,4
064772662,4
064773711,4
064777476,4
064778303,4
064779343,4
064780705,4
064780708,4
064781726,4
064782589,4
064783739,4
064791951,4
064792670,4
064792902,4
064793305,4
064794885,4
064799239,4
064801891,4
064804250,4
064809970,4
064811949,4
064812279,4
064812487,4
064814897,4
064815561,4
064821946,4
064826719,4
064827789,4
064828980,4
064830861,4
064832542,4
064833590,4
064834506,4
064840068,4
064847677,4
064848179,4
064856936,4
064859694,4
064863453,4
064867288,4
064868304,4
064872343,4
064873321,4
064875368,4
064876976,4
064877482,4
064879052,4
064880237,4
064884907,4
064885417,4
064886960,4
064891751,4
064894364,4
064895603,4
064898886,4
064899022,4
064901875,4
064913223,4
064916407,4
064919037,4
064920775,4
064921423,4
064921717,4
064923418,4
064923853,4
064924280,4
064924768,4
064928422,4
064929546,4
064929963,4
064934140,4
064935814,4
064936763,4
064937755,4
064940250,4
064944647,4
064949107,4
064949496,4
064954608,4
064957488,4
064958941,4
064959857,4
064960549,4
064963457,4
064966908,4
064968325,4
064971317,4
064971842,4
064972122,4
064973275,4
064974829,4
064976388,4
064978744,4
064979670,4
064981498,4
064982506,4
064984955,4
064986070,4
064986618,4
064992462,4
064992569,4
064993614,4
064994190,4
064996865,4
064998032,4
064999150,4
064999326,4
065001319,4
065002784,4
065003042,4
065003166,4
065012147,4
065013553,4
065015604,4
065017728,4
065021029,4
065026312,4
065026724,4
065027050,4
065027812,4
065030034,4
065031254,4
065033390,4
065034244,4
065034882,4
065035284,4
065037671,4
065041137,4
065041220,4
065041241,4
065043456,4
065045263,4
065047322,4
065047636,4
065050517,4
065052487,4
065054546,4
065055031,4
065056520,4
065057505,4
065057835,4
065058049,4
065059360,4
065059498,4
065060090,4
065060323,4
065063248,4
065063844,4
065063947,4
065064896,4
065066603,4
065068821,4
065069155,4
065070513,4
065070731,4
065071106,4
065074951,4
065075001,4
065075284,4
065075951,4
065085131,4
065085633,4
065085936,4
065086248,4
065088630,4
065089038,4
065089591,4
065089982,4
065093559,4
065094954,4
065101439,4
065101796,4
065102006,4
065102201,4
065103906,4
065104576,4
065106350,4
065106368,4
065109219,4
065110596,4
065110736,4
065110925,4
065111152,4
065116954,4
065117589,4
065117809,4
065118041,4
065118828,4
065122289,4
065122671,4
065125522,4
065127622,4
065127851,4
065129320,4
065130417,4
065132256,4
065133425,4
065133715,4
065136055,4
065140268,4
065142193,4
065142614,4
065142915,4
065142921,4
065145745,4
065147966,4
065148179,4
065154145,4
065159214,4
065159758,4
065160031,4
065162093,4
065162495,4
065162586,4
065162643,4
065166263,4
065166420,4
065167403,4
065169887,4
065171205,4
065171216,4
065171579,4
065173625,4
065174772,4
065175333,4
065176201,4
065177220,4
065181154,4
065182316,4
065182665,4
065183197,4
065183904,4
065188111,4
065188221,4
065188355,4
065190114,4
065198026,4
065204101,4
065204218,4
065204413,4
065204971,4
065205627,4
065207253,4
065207720,4
065208266,4
065209253,4
065210307,4
065212139,4
065212485,4
065212555,4
065214330,4
065214661,4
065216493,4
065218992,4
065219044,4
065220230,4
065220557,4
065223601,4
065223987,4
065225915,4
065226408,4
065227544,4
065228044,4
065228150,4
065228556,4
065228872,4
065229300,4
065229677,4
065230027,4
065230094,4
065230155,4
065230903,4
065232865,4
065233143,4
065233330,4
065235623,4
065240789,4
065241324,4
065243160,4
065244806,4
065247520,4
065247646,4
065248111,4
065248143,4
065248298,4
065248421,4
065249567,4
065251915,4
065253008,4
065254998,4
065256230,4
065258933,4
065259978,4
065260350,4
065262031,4
065262384,4
065264295,4
065264691,4
065265760,4
065270180,4
065271392,4
065274086,4
065275371,4
065276355,4
065278376,4
065280689,4
065281800,4
065282023,4
065282048,4
065282113,4
065282447,4
065282903,4
065284679,4
065285044,4
065285622,4
065285767,4
065286378,4
065287907,4
065289477,4
065290195,4
065291010,4
065291170,4
065291463,4
065291796,4
065292657,4
065293099,4
065293662,4
065294341,4
065297172,4
065297596,4
065302201,4
065302417,4
065303500,4
065304016,4
065304781,4
065305165,4
065307130,4
065308334,4
065309597,4
065309980,4
065310116,4
065310648,4
065314378,4
065314440,4
065314639,4
065314651,4
065314859,4
065314941,4
065314951,4
065315190,4
065315331,4
065315388,4
065315984,4
065316092,4
065316214,4
065316622,4
065317523,4
065317667,4
065317927,4
065317989,4
065318128,4
065318744,4
065319375,4
065319692,4
065320260,4
065320644,4
065321434,4
065321879,4
065322199,4
065322518,4
065322654,4
065322773,4
065323845,4
065324288,4
065324716,4
065325275,4
065329157,4
065329728,4
065330389,4
065331775,4
065332186,4
065332506,4
065333036,4
065333148,4
065334156,4
065334715,4
065335391,4
065335441,4
065335682,4
065335769,4
065336490,4
065337223,4
065337716,4
065337744,4
065338450,4
065338536,4
065338648,4
065338892,4
065339442,4
065339443,4
065339460,4
065339634,4
065340607,4
065340750,4
065340839,4
065341068,4
065342348,4
065342805,4
065342810,4
065343148,4
065343192,4
065343537,4
065344399,4
065345500,4
065345553,4
065345984,4
065346216,4
065346261,4
065346493,4
065346683,4
065347203,4
065347424,4
065347708,4
065348308,4
065348386,4
065348756,4
065348830,4
065348896,4
065349721,4
065349784,4
065350570,4
065350612,4
065350945,4
065351793,4
065351858,4
065351880,4
065352066,4
065353392,4
065353488,4
065354088,4
065356066,4
065356105,4
065356332,4
065356758,4
065357039,4
065357478,4
065357575,4
065358148,4
065358286,4
065358706,4
065358772,4
065358872,4
065358912,4
065358914,4
065358922,4
065359736,4
065360087,4
065360096,4
065360882,4
065361188,4
065362204,4
065362205,4
065362211,4
065362319,4
065364404,4
065364455,4
065364899,4
065364962,4
065365510,4
065365651,4
065365884,4
065365984,4
065366651,4
065366670,4
065366717,4
065367243,4
065367421,4
065368102,4
065368449,4
065368882,4
065369987,4
065371010,4
065371041,4
065371047,4
065371172,4
065371203,4
065371229,4
065372851,4
065372858,4
065372866,4
065372901,4
065373189,4
065373291,4
065374323,4
065374852,4
065375425,4
065375481,4
065375513,4
065375577,4
065375670,4
065375808,4
065376123,4
065376793,4
065376834,4
065376955,4
065377458,4
065377771,4
065378048,4
065378770,4
065379209,4
065379470,4
065380026,4
065380033,4
065380034,4
065380064,4
065380431,4
065380432,4
065380520,4
065380792,4
065381004,4
065381298,4
065381299,4
065381718,4
065382048,4
065382114,4
065382765,4
065382904,4
065383061,4
065384138,4
065384201,4
065384483,4
065386678,4
065387182,4
065387200,4
065387538,4
065387740,4
065388411,4
065389135,4
065389319,4
065389345,4
065389376,4
065389804,4
065390063,4
065390474,4
065390643,4
065390697,4
065390935,4
065390976,4
065391042,4
065391151,4
065391450,4
065391497,4
065391532,4
065391582,4
065391704,4
065391848,4
065392440,4
065392522,4
065392676,4
065392732,4
065393234,4
065393235,4
065393237,4
065393249,4
065393378,4
065394381,4
065394384,4
065394624,4
065396533,4
065396842,4
065396920,4
065397752,4
065397759,4
065398091,4
065398634,4
065398863,4
065398926,4
065399169,4
065399598,4
065399762,4
065399861,4
065400024,4
065400139,4
065400281,4
065400394,4
065400703,4
065401213,4
065401242,4
065401276,4
065401455,4
065401927,4
065402020,4
065402142,4
065402213,4
065402606,4
065403322,4
065403791,4
065404071,4
065404286,4
065405077,4
065406175,4
065406526,4
065406752,4
065406857,4
065407067,4
065407342,4
065408280,4
065408294,4
065408364,4
065408687,4
065408702,4
065408878,4
065408923,4
065409789,4
065409806,4
065409899,4
065410267,4
065410899,4
065410986,4
065411356,4
065411757,4
065411880,4
065412056,4
065412375,4
065413257,4
065413359,4
065413524,4
065414187,4
065414311,4
065414357,4
065414973,4
065415228,4
065416128,4
065416223,4
065416834,4
065417804,4
065417876,4
065418104,4
065418147,4
065418706,4
065419444,4
065420094,4
065420262,4
065420343,4
065421017,4
065422040,4
065422370,4
065422973,4
065423120,4
065423187,4
065426621,4
065426788,4
065426805,4
065427275,4
065428047,4
065428992,4
065429082,4
065430360,4
065430434,4
065430435,4
065430671,4
065431368,4
065432397,4
065432483,4
065432801,4
065432886,4
065433539,4
065433567,4
065434054,4
065434632,4
065434685,4
065434768,4
065434864,4
065435059,4
065435417,4
065435480,4
065435487,4
065435489,4
065436038,4
065436089,4
065436455,4
065436761,4
065437534,4
065437870,4
065438022,4
065438203,4
065438292,4
065438675,4
065438752,4
065438944,4
065439197,4
065439241,4
065440163,4
065440301,4
065440322,4
065440419,4
065440478,4
065440483,4
065440595,4
065440620,4
065440630,4
065440703,4
065441162,4
065441381,4
065441516,4
065447017,4
065447194,4
065447246,4
065447421,4
065447499,4
065447594,4
065447962,4
065448202,4
065448247,4
065448405,4
065448428,4
065448464,4
065448592,4
065448683,4
065449160,4
065449218,4
065449224,4
065449268,4
065449392,4
065449719,4
065449736,4
065449760,4
065450483,4
065450491,4
065450855,4
065451117,4
065451189,4
065451353,4
065451370,4
065451410,4
065451960,4
065452248,4
065452317,4
065452475,4
065452919,4
065453343,4
065453511,4
